loan_amnt,term,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,open_acc,missing_amnt
35000, 60 months,10+ years,MORTGAGE,110000.0,Verified,Charged Off,small_business,CA,1.06,0,10,0
9500, 36 months,10+ years,RENT,54000.0,Verified,Fully Paid,other,FL,17.69,0,6,0
3800, 36 months,< 1 year,MORTGAGE,47000.0,Source Verified,Charged Off,car,NY,22.52,0,10,0
12400, 60 months,9 years,OWN,65004.0,Source Verified,Charged Off,debt_consolidation,NJ,6.26,0,11,0
4000, 60 months,4 years,RENT,45000.0,Source Verified,Charged Off,other,FL,7.37,0,10,0
7500, 36 months,1 year,RENT,210000.0,Source Verified,Fully Paid,medical,NY,3.7,0,10,0
12000, 36 months,10+ years,RENT,120000.0,Not Verified,Fully Paid,medical,AZ,6.44,0,7,0
18000, 60 months,10+ years,RENT,59000.0,Verified,Fully Paid,debt_consolidation,TX,18.65,0,11,0
8875, 36 months,6 years,MORTGAGE,40000.0,Verified,Charged Off,debt_consolidation,NV,11.31,0,6,0
30000, 60 months,10+ years,RENT,135000.0,Verified,Fully Paid,small_business,NY,2.61,0,11,0
24625, 60 months,7 years,MORTGAGE,69600.0,Verified,Fully Paid,debt_consolidation,FL,23.62,0,11,0
5000, 36 months,7 years,OWN,25000.0,Verified,Fully Paid,debt_consolidation,CA,29.86,0,12,1
12000, 60 months,4 years,RENT,36000.0,Source Verified,Fully Paid,debt_consolidation,GA,11.73,0,10,0
6000, 36 months,4 years,MORTGAGE,66000.0,Source Verified,Fully Paid,other,NC,21.24,0,24,1
10000, 36 months,10+ years,MORTGAGE,80000.0,Not Verified,Fully Paid,credit_card,CA,17.94,0,5,0
18200, 36 months,2 years,RENT,36400.0,Verified,Fully Paid,credit_card,WA,12.82,0,12,0
12000, 36 months,3 years,MORTGAGE,71201.0,Source Verified,Fully Paid,wedding,NJ,15.32,0,11,0
6250, 36 months,10+ years,MORTGAGE,36000.0,Verified,Fully Paid,home_improvement,AL,21.53,2,19,0
