date,AA
2/1/1990 0:00,4.98
2/2/1990 0:00,5.04
2/5/1990 0:00,5.07
2/6/1990 0:00,5.01
2/7/1990 0:00,5.04
2/8/1990 0:00,5.04
2/9/1990 0:00,5.06
2/12/1990 0:00,4.96
2/13/1990 0:00,4.91
2/14/1990 0:00,4.94
2/15/1990 0:00,4.99
2/16/1990 0:00,5.1
2/20/1990 0:00,5.04
2/21/1990 0:00,5.01
2/22/1990 0:00,5.06
2/23/1990 0:00,5.07
2/26/1990 0:00,5.13
2/27/1990 0:00,5.16
2/28/1990 0:00,5.22
3/1/1990 0:00,5.26
3/2/1990 0:00,5.41
3/5/1990 0:00,5.39
3/6/1990 0:00,5.4
3/7/1990 0:00,5.36
3/8/1990 0:00,5.34
3/9/1990 0:00,5.33
3/12/1990 0:00,5.34
3/13/1990 0:00,5.29
3/14/1990 0:00,5.28
3/15/1990 0:00,5.36
3/16/1990 0:00,5.44
3/19/1990 0:00,5.53
3/20/1990 0:00,5.46
3/21/1990 0:00,5.41
3/22/1990 0:00,5.34
3/23/1990 0:00,5.33
3/26/1990 0:00,5.32
3/27/1990 0:00,5.35
3/28/1990 0:00,5.41
3/29/1990 0:00,5.36
3/30/1990 0:00,5.26
4/2/1990 0:00,5.18
4/3/1990 0:00,5.17
4/4/1990 0:00,5.13
4/5/1990 0:00,5.15
4/6/1990 0:00,5.04
4/9/1990 0:00,5.06
4/10/1990 0:00,5.11
4/11/1990 0:00,5.2
4/12/1990 0:00,5.25
4/16/1990 0:00,5.27
4/17/1990 0:00,5.26
4/18/1990 0:00,5.21
4/19/1990 0:00,5.15
4/20/1990 0:00,5.1
4/23/1990 0:00,5.04
4/24/1990 0:00,5.07
4/25/1990 0:00,5.1
4/26/1990 0:00,5.12
4/27/1990 0:00,5.14
4/30/1990 0:00,5.07
5/1/1990 0:00,5.07
5/2/1990 0:00,5.09
5/3/1990 0:00,5.11
5/4/1990 0:00,5.11
5/7/1990 0:00,5.19
5/8/1990 0:00,5.23
5/9/1990 0:00,5.19
5/10/1990 0:00,5.19
5/11/1990 0:00,5.25
5/14/1990 0:00,5.27
5/15/1990 0:00,5.31
5/16/1990 0:00,5.28
5/17/1990 0:00,5.35
5/18/1990 0:00,5.37
5/21/1990 0:00,5.44
5/22/1990 0:00,5.51
5/23/1990 0:00,5.44
5/24/1990 0:00,5.32
5/25/1990 0:00,5.31
5/29/1990 0:00,5.35
5/30/1990 0:00,5.35
5/31/1990 0:00,5.39
6/1/1990 0:00,5.46
6/4/1990 0:00,5.58
6/5/1990 0:00,5.57
6/6/1990 0:00,5.55
6/7/1990 0:00,5.5
6/8/1990 0:00,5.48
6/11/1990 0:00,5.5
6/12/1990 0:00,5.51
6/13/1990 0:00,5.49
6/14/1990 0:00,5.46
6/15/1990 0:00,5.39
6/18/1990 0:00,5.33
6/19/1990 0:00,5.31
6/20/1990 0:00,5.39
6/21/1990 0:00,5.39
6/22/1990 0:00,5.32
6/25/1990 0:00,5.29
6/26/1990 0:00,5.22
6/27/1990 0:00,5.22
6/28/1990 0:00,5.21
6/29/1990 0:00,5.21
7/2/1990 0:00,5.23
7/3/1990 0:00,5.29
7/5/1990 0:00,5.24
7/6/1990 0:00,5.44
7/9/1990 0:00,5.47
7/10/1990 0:00,5.39
7/11/1990 0:00,5.53
7/12/1990 0:00,5.58
7/13/1990 0:00,5.62
7/16/1990 0:00,5.66
7/17/1990 0:00,5.55
7/18/1990 0:00,5.51
7/19/1990 0:00,5.54
7/20/1990 0:00,5.41
7/23/1990 0:00,5.39
7/24/1990 0:00,5.53
7/25/1990 0:00,5.65
7/26/1990 0:00,5.64
7/27/1990 0:00,5.59
7/30/1990 0:00,5.75
7/31/1990 0:00,5.74
8/1/1990 0:00,5.64
8/2/1990 0:00,5.56
8/3/1990 0:00,5.41
8/6/1990 0:00,5.15
8/7/1990 0:00,5.21
8/8/1990 0:00,5.27
8/9/1990 0:00,5.31
8/10/1990 0:00,5.23
8/13/1990 0:00,5.28
8/14/1990 0:00,5.32
8/15/1990 0:00,5.35
8/16/1990 0:00,5.25
8/17/1990 0:00,5.21
8/20/1990 0:00,5.18
8/21/1990 0:00,5.11
8/22/1990 0:00,5.05
8/23/1990 0:00,5.02
8/24/1990 0:00,5.06
8/27/1990 0:00,5.13
8/28/1990 0:00,5.13
8/29/1990 0:00,5.2
8/30/1990 0:00,5.25
8/31/1990 0:00,5.32
9/4/1990 0:00,5.39
9/5/1990 0:00,5.52
9/6/1990 0:00,5.48
9/7/1990 0:00,5.52
9/10/1990 0:00,5.54
9/11/1990 0:00,5.47
9/12/1990 0:00,5.64
9/13/1990 0:00,5.56
9/14/1990 0:00,5.51
9/17/1990 0:00,5.58
9/18/1990 0:00,5.63
9/19/1990 0:00,5.77
9/20/1990 0:00,5.65
9/21/1990 0:00,5.58
9/24/1990 0:00,5.27
9/25/1990 0:00,5.2
9/26/1990 0:00,5.19
9/27/1990 0:00,5.16
9/28/1990 0:00,5.18
10/1/1990 0:00,5.25
10/2/1990 0:00,5.2
10/3/1990 0:00,5.18
10/4/1990 0:00,5.16
10/5/1990 0:00,5.12
10/8/1990 0:00,5.11
10/9/1990 0:00,4.94
10/10/1990 0:00,4.67
10/11/1990 0:00,4.5
10/12/1990 0:00,4.42
10/15/1990 0:00,4.36
10/16/1990 0:00,4.29
10/17/1990 0:00,4.35
10/18/1990 0:00,4.46
10/19/1990 0:00,4.49
10/22/1990 0:00,4.54
10/23/1990 0:00,4.54
10/24/1990 0:00,4.6
10/25/1990 0:00,4.6
10/26/1990 0:00,4.56
10/29/1990 0:00,4.53
10/30/1990 0:00,4.44
10/31/1990 0:00,4.42
11/1/1990 0:00,4.43
11/2/1990 0:00,4.52
11/5/1990 0:00,4.5
11/6/1990 0:00,4.41
11/7/1990 0:00,4.31
11/8/1990 0:00,4.2
11/9/1990 0:00,4.2
11/12/1990 0:00,4.35
11/13/1990 0:00,4.33
11/14/1990 0:00,4.38
11/15/1990 0:00,4.43
11/16/1990 0:00,4.41
11/19/1990 0:00,4.41
11/20/1990 0:00,4.41
11/21/1990 0:00,4.49
11/23/1990 0:00,4.51
